model,epochs,batch_size,lr_fc,lr_backbone,val_acc
alexnet,5,32,0.001,0.0001,0.8816295157571099
alexnet,5,32,0.001,1e-05,0.8816295157571099
alexnet,5,32,0.0005,0.0001,0.8777863182167563
alexnet,5,32,0.0005,1e-05,0.8777863182167563
alexnet,5,64,0.001,0.0001,0.8793235972328978
alexnet,5,64,0.001,1e-05,0.8739431206764028
alexnet,5,64,0.0005,0.0001,0.8716372021521906
alexnet,5,64,0.0005,1e-05,0.865488086087625
alexnet,10,32,0.001,0.0001,0.8885472713297463
alexnet,10,32,0.001,1e-05,0.8831667947732513
alexnet,10,32,0.0005,0.0001,0.8823981552651806
alexnet,10,32,0.0005,1e-05,0.883935434281322
alexnet,10,64,0.001,0.0001,0.8854727132974635
alexnet,10,64,0.001,1e-05,0.8816295157571099
alexnet,10,64,0.0005,0.0001,0.8793235972328978
alexnet,10,64,0.0005,1e-05,0.8793235972328978
