model,epochs,batch_size,lr_fc,lr_backbone,val_acc
alexnet,5,32,0.001,0.0001,0.16295157571099156
alexnet,5,32,0.001,1e-05,0.09223674096848578
alexnet,5,32,0.0005,0.0001,0.09223674096848578
alexnet,5,32,0.0005,1e-05,0.09223674096848578
alexnet,5,64,0.001,0.0001,0.09223674096848578
alexnet,5,64,0.001,1e-05,0.09223674096848578
alexnet,5,64,0.0005,0.0001,0.09223674096848578
alexnet,5,64,0.0005,1e-05,0.09223674096848578
alexnet,10,32,0.001,0.0001,0.16833205226748654
alexnet,10,32,0.001,1e-05,0.0983858570330515
alexnet,10,32,0.0005,0.0001,0.1652574942352037
alexnet,10,32,0.0005,1e-05,0.09223674096848578
alexnet,10,64,0.001,0.0001,0.09531129900076864
alexnet,10,64,0.001,1e-05,0.09223674096848578
alexnet,10,64,0.0005,0.0001,0.09223674096848578
alexnet,10,64,0.0005,1e-05,0.09223674096848578
