model,epochs,batch_size,lr_fc,lr_backbone,val_acc
resnet18,5,32,0.001,0.0001,0.9062259800153728
resnet18,5,32,0.001,1e-05,0.8900845503458877
resnet18,5,32,0.0005,0.0001,0.8455034588777863
resnet18,5,32,0.0005,1e-05,0.7963105303612605
resnet18,5,64,0.001,0.0001,0.8347425057647964
resnet18,5,64,0.001,1e-05,0.8001537279016141
resnet18,5,64,0.0005,0.0001,0.7079169869331283
resnet18,5,64,0.0005,1e-05,0.665641813989239
resnet18,10,32,0.001,0.0001,0.9446579554189085
resnet18,10,32,0.001,1e-05,0.9200614911606456
resnet18,10,32,0.0005,0.0001,0.9223674096848578
resnet18,10,32,0.0005,1e-05,0.8946963873943121
resnet18,10,64,0.001,0.0001,0.9116064565718678
resnet18,10,64,0.001,1e-05,0.8908531898539584
resnet18,10,64,0.0005,0.0001,0.8524212144504227
resnet18,10,64,0.0005,1e-05,0.7993850883935434
