model,epochs,batch_size,lr_fc,lr_backbone,val_acc
resnet18,5,32,0.001,0.0001,0.2682551883166795
resnet18,5,32,0.001,1e-05,0.23520368946963874
resnet18,5,32,0.0005,0.0001,0.23904688700999233
resnet18,5,32,0.0005,1e-05,0.1921598770176787
resnet18,5,64,0.001,0.0001,0.22674865488086088
resnet18,5,64,0.001,1e-05,0.18677940046118371
resnet18,5,64,0.0005,0.0001,0.21060722521137587
resnet18,5,64,0.0005,1e-05,0.1706379707916987
resnet18,10,32,0.001,0.0001,0.32744043043812454
resnet18,10,32,0.001,1e-05,0.27209838585703305
resnet18,10,32,0.0005,0.0001,0.2990007686395081
resnet18,10,32,0.0005,1e-05,0.23750960799385087
resnet18,10,64,0.001,0.0001,0.2759415833973866
resnet18,10,64,0.001,1e-05,0.23597232897770945
resnet18,10,64,0.0005,0.0001,0.25595695618754805
resnet18,10,64,0.0005,1e-05,0.18831667947732514
